cluster,latitude,longitude,visits,address,business_name
0,37.532744466666664,-77.56055575555555,45,"2520 Buford Rd, Richmond, VA 23235, USA",
1,37.562354,-77.48448718181818,11,"Rec center, 414 N Thompson St, Richmond, VA 23221, USA",Rec center
2,38.035179448113205,-78.50554164150942,212,"27 W Range, Charlottesville, VA 22904, USA",
3,38.13270214285715,-78.4334072857143,7,"3263 Proffit Rd, Charlottesville, VA 22911, USA",
4,37.55783654545455,-77.66085936363636,11,"414 Huguenot Trail, Midlothian, VA 23113, USA",
5,37.5090653076923,-77.61612123076922,13,"1230 Alverser Dr, Midlothian, VA 23113, USA",
