cluster,latitude,longitude,visit_count,place_name,place_type
0,38.030992,-78.503485,89,,
1,38.132616,-78.433283,6,,
2,38.052815,-78.501257,7,,
3,37.531016,-77.567882,23,,
4,37.558461,-77.659897,7,,
5,37.503912,-77.615251,10,,
