cluster,latitude,longitude,visits,place_type
0,37.532744466666664,-77.56055575555555,45,route
1,37.562354,-77.48448718181818,11,route
2,38.035179448113205,-78.50554164150942,212,route
3,38.13270214285715,-78.4334072857143,7,locality
4,37.55783654545455,-77.66085936363636,11,Unknown
5,37.5090653076923,-77.61612123076922,13,route
